Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_c,Embarked_Q,Embarked_S,Age_norm,Fare_norm
0,3,male,22.0,1,0,7.25,S,1,0,1,0.375,0.04397492034473911
1,1,female,38.0,1,0,71.2833,C,0,0,0,0.6607142857142857,0.4323693019876057
1,3,female,26.0,0,0,7.925,S,0,0,1,0.44642857142857145,0.048069137066490686
1,1,female,35.0,1,0,53.1,S,0,0,1,0.6071428571428571,0.3220783821111237
0,3,male,35.0,0,0,8.05,S,1,0,1,0.6071428571428571,0.048827325348296535
0,3,male,24.0,0,0,8.4583,Q,1,1,0,0.4107142857142857,0.051303871551987144
0,1,male,54.0,0,0,51.8625,S,1,0,1,0.9464285714285714,0.3145723181212458
0,3,male,2.0,3,1,21.075,S,1,0,1,0.017857142857142856,0.12783054431246577
1,3,female,27.0,0,2,11.1333,S,0,0,1,0.4642857142857143,0.06752910078263227
1,2,female,14.0,1,0,30.0708,C,0,0,0,0.23214285714285715,0.18239462547621804
1,3,female,4.0,1,1,16.7,S,0,0,1,0.05357142857142857,0.10129395444926112
0,3,male,20.0,0,0,8.05,S,1,0,1,0.3392857142857143,0.048827325348296535
0,3,female,14.0,0,0,7.8542,S,0,0,1,0.23214285714285715,0.04763969922367585
1,2,female,55.0,0,0,16.0,S,0,0,1,0.9642857142857143,0.09704810007114838
0,3,male,2.0,4,1,29.125,Q,1,1,0,0.017857142857142856,0.1766578696607623
1,2,male,24.0,0,0,13.0,S,1,0,1,0.4107142857142857,0.07885158130780806
0,3,female,31.0,1,0,18.0,S,0,0,1,0.5357142857142857,0.10917911258004193
1,3,female,24.0,0,0,7.225,C,0,0,0,0.4107142857142857,0.04382328268837794
0,2,male,35.0,0,0,26.0,S,1,0,1,0.6071428571428571,0.15770316261561612
1,2,male,34.0,0,0,13.0,S,1,0,1,0.5892857142857143,0.07885158130780806
1,3,female,15.0,0,0,8.0292,Q,0,1,0,0.25,0.04870116281820403
1,1,male,28.0,0,0,35.5,S,1,0,1,0.48214285714285715,0.21532547203286048
0,3,female,8.0,3,1,21.075,S,0,0,1,0.125,0.12783054431246577
0,3,male,24.0,0,0,7.225,C,1,0,0,0.4107142857142857,0.04382328268837794
1,3,female,24.0,0,0,7.8792,Q,0,1,0,0.4107142857142857,0.04779133688003702
0,3,male,24.0,0,0,7.8958,S,1,0,1,0.4107142857142857,0.04789202428386084
0,1,male,40.0,0,0,27.7208,C,1,0,0,0.6964285714285714,0.16814068577826813
1,1,female,24.0,1,0,146.5208,C,0,0,0,0.4107142857142857,0.888722828806545
1,3,female,24.0,0,0,7.75,Q,0,1,0,0.4107142857142857,0.0470076734719625
0,1,male,28.0,1,0,82.1708,C,1,0,0,0.48214285714285715,0.49840750133289496
0,1,male,42.0,1,0,52.0,S,1,0,1,0.7321428571428571,0.31540632523123224
1,3,male,24.0,0,0,7.2292,C,1,0,0,0.4107142857142857,0.043848757814646616
0,3,male,21.0,0,0,8.05,S,1,0,1,0.35714285714285715,0.048827325348296535
0,3,female,18.0,2,0,18.0,S,0,0,1,0.30357142857142855,0.10917911258004193
1,3,female,14.0,1,0,11.2417,C,0,0,0,0.23214285714285715,0.0681866016606143
0,3,female,40.0,1,0,9.475,S,0,0,1,0.6964285714285714,0.057470671760883184
0,2,female,27.0,1,0,21.0,S,0,0,1,0.4642857142857143,0.12737563134338226
0,3,male,24.0,0,0,7.8958,C,1,0,0,0.4107142857142857,0.04789202428386084
1,2,female,3.0,1,2,41.5792,C,0,0,0,0.03571428571428571,0.2521988976548933
1,3,female,19.0,0,0,7.8792,Q,0,1,0,0.32142857142857145,0.04779133688003702
0,3,male,24.0,0,0,8.05,S,1,0,1,0.4107142857142857,0.048827325348296535
0,3,male,24.0,1,0,15.5,Q,1,1,0,0.4107142857142857,0.094015346943925
0,3,male,24.0,2,0,21.6792,C,1,0,0,0.4107142857142857,0.1314953231914025
0,3,female,18.0,1,0,17.8,S,0,0,1,0.30357142857142855,0.10796601132915258
0,3,male,7.0,4,1,39.6875,S,1,0,1,0.10714285714285714,0.24072477947335635
0,3,male,21.0,0,0,7.8,S,1,0,1,0.35714285714285715,0.047310948784684836
1,1,female,49.0,1,0,76.7292,C,0,0,0,0.8571428571428571,0.46540144249869747
1,2,female,29.0,1,0,26.0,S,0,0,1,0.5,0.15770316261561612
1,1,male,24.0,0,0,35.5,S,1,0,1,0.4107142857142857,0.21532547203286048
1,2,female,21.0,0,0,10.5,S,0,0,1,0.35714285714285715,0.06368781567169113
0,3,male,28.5,0,0,7.2292,C,1,0,0,0.49107142857142855,0.043848757814646616
1,2,female,5.0,1,2,27.75,S,0,0,1,0.07142857142857142,0.16831779856089799
0,3,male,22.0,0,0,7.2292,C,1,0,0,0.375,0.043848757814646616
1,1,female,38.0,0,0,80.0,S,0,0,1,0.6607142857142857,0.4852405003557419
0,1,male,45.0,1,0,83.475,S,1,0,1,0.7857142857142857,0.5063181345899445
0,3,male,4.0,3,2,27.9,S,1,0,1,0.05357142857142857,0.16922762449906498
0,1,male,24.0,0,0,27.7208,C,1,0,0,0.4107142857142857,0.16814068577826813
1,3,male,24.0,1,1,15.2458,C,1,0,0,0.4107142857142857,0.09247349525404462
1,2,female,29.0,0,0,10.5,S,0,0,1,0.5,0.06368781567169113
0,3,male,19.0,0,0,8.1583,S,1,0,1,0.32142857142857145,0.04948421967565312
1,3,female,17.0,4,2,7.925,S,0,0,1,0.2857142857142857,0.048069137066490686
0,3,male,26.0,2,0,8.6625,S,1,0,1,0.44642857142857145,0.05254244792914518
0,2,male,32.0,0,0,10.5,S,1,0,1,0.5535714285714286,0.06368781567169113
0,2,male,21.0,0,0,73.5,S,1,0,1,0.35714285714285715,0.4458147097018379
0,3,male,26.0,1,0,14.4542,C,1,0,0,0.44642857142857145,0.08767204050302456
1,3,male,32.0,0,0,56.4958,S,1,0,1,0.5535714285714286,0.34267562824997405
0,3,male,25.0,0,0,7.65,S,1,0,1,0.42857142857142855,0.046401122846517824
1,3,female,30.0,0,0,12.475,S,0,0,1,0.5178571428571429,0.07566719052422351
0,3,male,22.0,0,0,9.0,S,1,0,1,0.375,0.05458955629002096
1,3,male,29.0,0,0,9.5,S,1,0,1,0.5,0.057622309417244354
1,3,female,24.0,0,0,7.7875,Q,0,1,0,0.4107142857142857,0.04723512995650425
0,1,male,28.0,0,0,47.1,S,1,0,1,0.48214285714285715,0.28568534458444306
1,2,female,17.0,0,0,10.5,S,0,0,1,0.2857142857142857,0.06368781567169113
1,3,female,33.0,3,0,15.85,S,0,0,1,0.5714285714285714,0.09613827413298137
0,3,male,24.0,0,0,8.05,S,1,0,1,0.4107142857142857,0.048827325348296535
0,3,male,29.0,0,0,8.05,S,1,0,1,0.5,0.048827325348296535
